date,weight
Mar 1 2017,220
Mar 4 2017,225
Mar 18 2017,216
Mar 19 2017,217
Mar 23 2017,218
Apr 2 2017,216
Apr 21 2017,216
May 8 2017,214
May 11 2017,212
May 20 2017,211
May 27 2017,213
Jun 10 2017,213
Jun 25 2017,214
Jul 23 2017,215
Jan 1 2018,223
Jan 3 2018,221
Jan 12 2018,220
Jan 15 2018,218
Jan 20 2018,218
Jan 28 2018,216
Jan 31 2018,214
Feb 5 2018,215
Feb 9 2018,213
Feb 19 2018,214
Feb 26 2018,213
Mar 2 2018,210
Mar 10 2018,208
Mar 13 2018,207
Mar 22 2018,206
Mar 28 2018,204
Apr 5 2018,202
Apr 18 2018,201
Apr 20 2018,199
Apr 27 2018,198
May 4 2018,194
May 12 2018,196
May 16 2018,195
May 22 2018,197
May 26 2018,194
Jun 1 2018,191
Jun 8 2018,195
Jun 13 2018,193
Jun 17 2018,190
Jun 25 2018,191
Jun 30 2018,188
Jul 8 2018,191
Jul 20 2018,188
Aug 16 2018,187
Aug 23 2018,189
Aug 30 2018,186
Sep 13 2018,189
Sep 25 2018,185
Oct 2 2018,184
Oct 5 2018,182
Oct 11 2018,184
Oct 19 2018,180
Oct 29 2018,183
Nov 7 2018,179
Nov 16 2018,178
Nov 27 2018,182
Dec 8 2018,180
Dec 15 2018,178
Dec 28 2018,184
Jan 5 2019,181
Jan 12 2019,179
Jan 31 2019,178
Feb 16 2019,181
Feb 26 2019,178
Mar 13 2019,177
Mar 27 2019,175
Apr 6 2019,180
Apr 14 2019,181
May 2 2019,178
May 19 2019,181
Jun 5 2019,180
Jun 14 2019,178
Jun 29 2019,185
Jul 10 2019,183
Jul 18 2019,180
Jul 31 2019,182
Aug 13 2019,185
Sep 1 2019,185
Sep 14 2019,183
Oct 1 2019,185
Oct 15 2019,186
Oct 30 2019,185
Nov 15 2019,183
Nov 30 2019,184
Dec 14 2019,183
Dec 25 2019,188
Jan 3 2020,191
Jan 15 2020,191
Jan 25 2020,189
Feb 2 2020,190
Feb 17 2020,192
Mar 1 2020,190
Mar 16 2020,192
Apr 10 2020,190
Apr 27 2020,192
May 13 2020,192
May 29 2020,193
Jun 12 2020,192
Jun 30 2020,195
Jul 10 2020,195
Jul 22 2020,198
Aug 7 2020,198
Aug 14 2020,200
Aug 20 2020,196
Sep 2 2020,198
Sep 15 2020,197
Oct 1 2020,195
Oct 23 2020,197
Nov 2 2020,199
Nov 19 2020,198
Dec 2 2020,199
Dec 10 2020,200
Jan 5 2021,202
Jan 11 2021,199
Jan 19 2021,198
Jan 29 2021,195
Feb 2 2021,198
Feb 14 2021,197
Feb 26 2021,196
Mar 11 2021,197
Mar 29 2021,201
Apr 17 2021,200
Mar 14 2021,201
Jun 3 2021,202
Jun 15 2021,203
Jun 28 2021,207
Aug 3 2021,209
Aug 4 2021,207
Jan 4 2022,218
Jan 10 2022,218
Jan 19 2022,218
Jan 4 2023,222
Jan 16 2023,220
Jan 19 2023,217
Feb 20 2024,232
Aug 5 2024,232
Aug 10 2024,230
Aug 18 2024,229
Aug 21 2024,228
Aug 26 2024,227
Sep 3 2024,226
Sep 10 2024,225
Sep 17 2024,223
Sep 20 2024,220
Sep 30 2024,222
Oct 8 2024,221
Oct 15 2024,220
Oct 20 2024,219
Oct 30 2024,218
Nov 10 2024,215
Nov 11 2024,214.6
Nov 14 2024,215.4
Nov 18 2024,214.8
Nov 22 2024,213.8
Nov 24 2024,215.2
Nov 26 2024,212.6
Nov 28 2024,214.2
Nov 30 2024,212.8
Dec 2 2024,213.4
Dec 5 2024,212.6
Dec 6 2024,211.6
Dec 8 2024,211.8
Dec 10 2024,214.2
Dec 12 2024,213.2
Dec 14 2024,210.8
Dec 17 2024,212.6
Dec 19 2024,212
Dec 23 2024,211.6
Dec 25 2024,211.4
Dec 27 2024,212.2
Dec 28 2024,212
Dec 29 2024,211.8
Dec 30 2024,211.2
Jan 1 2025,212.6
Jan 2 2025,212.6
Jan 3 2025,211.6
Jan 4 2025,213
Jan 6 2025,212.4
Jan 7 2025,211.4
Jan 8 2025,212.4
Jan 9 2025,211.4
Jan 10 2025,210
Jan 11 2025,210
Jan 12 2025,210.4
Jan 13 2025,211.4
Jan 15 2025,210.4
Jan 16 2025,209.4
Jan 18 2025,209.4
Jan 19 2025,210.6
Jan 21 2025,210.6
Jan 22 2025,209.8
Jan 23 2025,208.8
Jan 24 2025,209
Jan 25 2025,208.6
Jan 27 2025,209.6
Jan 28 2025,209.8
Feb 4 2025,210.8
Feb 5 2025,210.6
Feb 8 2025,208.4
